Bokommuen,Haugesund_1106,Sauda_1135,Bokn_1145,Tysvær_1146,Karmøy_1149,Utsira_1151,Vindafjord_1160,Etne_4611,Sveio_4612,Bømlo_4613,Stord_4614,Fitjar_4615,Tysnes_4616,Kvinnherad_4617,Ullensvang_4618
Haugesund_1106,11714,11,22,1029,2586,3,264,26,203,51,108,1,4,15,12
Sauda_1135,31,1789,0,2,6,0,27,2,1,0,1,0,0,2,2
Bokn_1145,50,0,223,41,41,0,16,0,1,0,2,0,0,1,0
Tysvær_1146,1540,1,33,2270,645,0,267,6,43,9,23,0,0,0,1
Karmøy_1149,4916,9,31,712,11637,2,218,9,57,23,33,0,9,6,7
Utsira_1151,4,0,0,2,3,85,0,0,0,0,0,0,0,0,0
Vindafjord_1160,306,10,1,238,103,0,3231,166,17,4,14,0,0,11,11
Etne_4611,62,1,0,31,25,0,389,1306,1,0,11,0,4,28,22
Sveio_4612,856,2,1,145,195,0,48,6,1055,27,137,2,6,1,1
Bømlo_4613,99,0,0,10,28,0,10,1,35,4277,623,25,7,8,3
Stord_4614,194,1,0,33,76,0,35,11,52,280,7314,169,32,33,9
Fitjar_4615,28,0,0,6,10,0,5,0,8,20,472,819,5,2,0
Tysnes_4616,5,0,0,0,6,0,1,1,3,4,66,5,948,24,1
Kvinnherad_4617,35,1,0,9,14,0,18,32,0,24,178,4,36,5270,83
Ullensvang_4618,24,4,0,5,9,0,9,10,0,1,7,1,1,53,4711
